pr,timestamp,date,hour,message
5361,2025-11-12T21:03:17+00:00,2025-11-12,21,refactor: Remove ui package
5361,2025-11-12T21:09:06+00:00,2025-11-12,21,refactor: Add TooltipProvider to agent card
5361,2025-11-12T21:15:01+00:00,2025-11-12,21,refactor: Update superValidate import
5361,2025-11-12T21:44:59+00:00,2025-11-12,21,test: update tests from ui package to local ui
5361,2025-11-12T21:57:38+00:00,2025-11-12,21,test: Update SSR tests
5361,2025-11-12T22:05:42+00:00,2025-11-12,22,refactor: Integrate SuperForms
5361,2025-11-12T22:08:19+00:00,2025-11-12,22,refactor: Update superValidate import
5361,2025-11-12T22:18:01+00:00,2025-11-12,22,test: Mock superValidate in tests
5361,2025-11-13T10:55:32+00:00,2025-11-13,10,refactor: Enhance Tooltip component
5361,2025-11-13T12:07:18+00:00,2025-11-13,12,refactor: Update component props
5361,2025-11-13T12:32:52+00:00,2025-11-13,12,refactor: Replace with $state for reactivity
5361,2025-11-13T12:39:03+00:00,2025-11-13,12,refactor: Replace with $state in LLMRouterStep
5361,2025-11-13T13:01:46+00:00,2025-11-13,13,refactor: Bind step prop in StepSettings
5361,2025-11-13T13:06:15+00:00,2025-11-13,13,refactor: Improve random image selection
5361,2025-11-13T13:29:40+00:00,2025-11-13,13,refactor: Bind step prop for reactivity
5361,2025-11-13T14:44:59+00:00,2025-11-13,14,delete research document
5361,2025-11-13T14:58:47+00:00,2025-11-13,14,refactor: Enhance agentId synchronization
5361,2025-11-14T21:12:10+00:00,2025-11-14,21,chore: update dependencies
5361,2025-11-14T21:14:50+00:00,2025-11-14,21,Merge main
5361,2025-11-14T21:24:37+00:00,2025-11-14,21,chore: update lockfile
5361,2025-11-14T22:14:55+00:00,2025-11-14,22,feat: update FieldValue type
5361,2025-11-14T22:35:03+00:00,2025-11-14,22,feat: remove bits-ui-old dependency
5361,2025-11-14T22:40:36+00:00,2025-11-14,22,fix: cast AIAgent types
5361,2025-11-15T08:17:28+00:00,2025-11-15,8,refactor: eliminate prop-syncing
5361,2025-11-15T08:46:29+00:00,2025-11-15,8,fix: Redis WRONGTYPE errors
5361,2025-11-15T09:03:05+00:00,2025-11-15,9,fix: CSP violations
5361,2025-11-17T10:55:10+00:00,2025-11-17,10,test: fix command-center tests
5361,2025-11-17T10:59:00+00:00,2025-11-17,10,Merge main
5361,2025-11-17T11:00:26+00:00,2025-11-17,11,fix: restore QID route functions
5361,2025-11-17T11:11:45+00:00,2025-11-17,11,fix: update QID Router onclick
5375,2025-11-17T17:50:30+00:00,2025-11-17,17,refactor: vanilla schadcn-svelte
5375,2025-11-17T17:53:07+00:00,2025-11-17,17,refactor: update gradient classes
5375,2025-11-17T18:17:36+00:00,2025-11-17,18,refactor: use primary/accent colors
5375,2025-11-17T18:25:21+00:00,2025-11-17,18,refactor: update foreground colors
5375,2025-11-17T18:33:28+00:00,2025-11-17,18,refactor: update styles consistency
5375,2025-11-17T19:31:07+00:00,2025-11-17,19,Refactor: remove border classes
5375,2025-11-17T19:32:12+00:00,2025-11-17,19,Merge main
5375,2025-11-17T19:36:19+00:00,2025-11-17,19,refactor: update Auth0 bg color
5375,2025-11-17T19:47:51+00:00,2025-11-17,19,refactor: border-border!!!
5375,2025-11-17T20:07:38+00:00,2025-11-17,20,refactor: vanilla schad styles
5375,2025-11-17T20:13:18+00:00,2025-11-17,20,refactor: use ring instead of blue-500
5375,2025-11-17T20:13:44+00:00,2025-11-17,20,refactor: add V2 Files Cleanup Plan
5375,2025-11-17T20:33:36+00:00,2025-11-17,20,refactor: update EvalDetailsSkeleton
5375,2025-11-17T20:34:15+00:00,2025-11-17,20,refactor: update smart-agent-card
5375,2025-11-17T20:37:40+00:00,2025-11-17,20,refactor: update theme bg styles
5375,2025-11-17T21:14:48+00:00,2025-11-17,21,test: update tests
5375,2025-11-17T22:15:30+00:00,2025-11-17,22,refactor: enhance theme consistency
5375,2025-11-17T22:15:46+00:00,2025-11-17,22,refactor: update Avatar component
5375,2025-11-17T22:52:16+00:00,2025-11-17,22,refactor: update color variables
5375,2025-11-17T22:53:20+00:00,2025-11-17,22,refactor: remove console logs
5375,2025-11-17T23:00:01+00:00,2025-11-17,23,refactor: update pagination colors
5375,2025-11-18T07:08:15+00:00,2025-11-18,7,refactor: remove unused styles
5375,2025-11-18T08:25:42+00:00,2025-11-18,8,refactor: streamline navigation
